id,rodzaj humoru,pytanie,nazwa pliku pytania ,odpowiedź,nazwa pliku odpowiedzi,forma
1,1,tak?,,nie,,
2,2,Szwejk mówi: uprzejmie melduję Panie pułkowniku że przyszedłem zapytać czy dostałbym jakiś awans...Pułkownik: Ech Szwejk (wzdycha).,2a.mp4,awans? ależ oczywiście dostajesz awans na pierwszego lamenutującego pierwszego stopnia z orderem za uciążliwość i zawracanie gitary...,2b.mp4,
3,,czy wiesz co powie szef gdy poruszysz temat podwyżek?,3a.png,Podwyżki są... w sklepach! idź do sklepu,3b.png,
4,,czy wiesz jak prosić szefa o podwyżkę,4a.png,idź i proś szefa o podwyżkę,4b.png,
5,,Pewna dziewczynka jadła z mama obiadek... ,,"Jedz smacznego mówi mama. Dziewczynka analizuje w głowie sposób na odezwanie się bez konsekwencji aż w końcu mówi ""Mamo masz piękne oczy!"" a po chwili dodaje : ""takie brązowe, piękne!"".  Widać załamanie mamy, że nie wypada jej zaprzeczyć.",5b.png,
6,,"Švejk czyta spokojnym, naiwnym tonem: ""VÍŠ, CO ŘEKNE ŠÉF, kaj se PopytaŠ o bonus? ?""
",,"generał w tle odwraca głowę, podchodząc do Szwejka mówi tylko ""ježíšmarjá!"" generał mówi spokojnym, nauczycielskim tonem, ze politowaniem do Szwejka lecz grożąc palcem: ""! Bonusy tyjo na rynkach, marketech!  PodwyŘki Šom ino u benzínu - Panečku knedlíku!  hergot!""
",6b.mp4,
7,,Gdy życie przytłoczy problemami...,,"widać obładowany plecak i ktoś zauważa: Do tego plecaka nic się już nie zmieści, nawet narzekanie. Wniosek: zajmi się bieżączką nie będzie miejsca na narzekanie.",7b.png,
8,,"Podczas pewnej lekcji , korepetycji mała dziewczynka chciała uniknąć nauki...",8a.png,"dziewczynka mówi :""5 kartek do robienia zadań z matematyki? to chyba za dużo bo to zabiera tlen na świecie!"".-tajemniczo sie uśmiecha - szelmiowski uśmiech spryciary",8b.png,
9,,Pewnego razu pewna kobieta z pewnego miasta spojrzała w lodówkę..,,co to ja miałam zrobić? pusta lodówka.. niech pomyślę..wiem! pójde po mięsko.,9b.jpeg,
10,,,,"Sceny pokazujące że kobieta w związku mówi: mama ciebie nie nauczyła prać, - i sama  bierz i pierze, ""daj powiesze pranie bo ty nie umiesz"" , Ugotuję bo ty nie umiesz. A na końcu puenta kobieta mówi smutna ""zawsze ja wszystko robię..."".",10b.jpeg,
11,,Pewien profesor przygotowywał test dla studenów i skreślił inne odpowiedzi i została mu tylko jedna odpowiedź w teście do zaznaczenia.,11a.png,"INSTYTUT BADAŃ OSTATECZNYCH Oficjalny Kwestionariusz Egzystencjalny (Wersja A-Ż)
Instrukcja: Prosimy o uważne przeczytanie poniższego pytania i zakreślenie tylko jednej odpowiedzi, która Pana/Pani zdaniem najlepiej oddaje stan faktyczny.
Pytanie główne: Czego ludzie najbardziej żałują na koniec swojego życia, tuż przed śmiercią?
(jeden chekbox [] ) =Że nie pozwolili sobie być sobą.",11b.png,
12,,,,"Uczestnik przed spotkaniem grupowym pyta się ""po co nosić te stoły? Trzeba będzie je wynosić. Prowadzący myśli ""czy odpowiedzieć krótko i na temat... czy raczej zrobić godzinny wykład z dygresjami?"". Ostatecznie widać, że godzina minęła a prowadzący dalej mówi ""...bo widzisz Pawle...stół to metafora wspólnoty, łokcia, kawy i sensu życia!"".",12b.jpg,
13,,Jeśli w lesie spotkasz wilka... ,13a.png,uciekaj!,13b.png,
14,,czy koty potrafią robić te rzeczy?,,Kotek nie potrafi szczekać i narzekać. A człowiek potrafi?,14b.png,
